question,gold_answer,KG answer,taxonomy_label,confidence,source
What is the name of the captain of the Croatia national association football team,Luka Modrić,Luka Modrić,Same,1.0,ComplexQA/CompMix_infobox_complex/00110.json
Which grammy award did Diano Ross get?,Grammy Lifetime Achievement Award,Grammy Lifetime Achievement Award,Same,1.0,SimpleQA/CompMix_table_simple_qa/00312.json
How many total awards did How I Met Your Mother eventually win through its full time on,21,7,Different answer,major,ComplexQA/CompMix_infobox_complex/00028.json
Who played the character of Krishna of Goloka in RadhaKrishn?,Himanshu Soni,Sumedh Mudgalkar|Sumedh Mudgalkar (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00031.json
What is the name of the chef that won the Master Chef Australia season twelve,Emelia Jackson,Emelia Jackson,Same,1.0,ComplexQA/CompMix_table_complex/00086.json
Which is the 2nd novel of Mulk Raj Anand?,Coolie,Coolie,Same,1.0,SimpleQA/CompMix_table_simple_qa/00059.json
How many total games were played across the National League Championship Series competitions that featured both the Los Angeles Dodgers and the Philadelphia Phillies,18,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00158.json
Who played the character of Miyan Maqbool?,Irrfan Khan,Pankaj Kapur|Pankaj Kapur (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00160.json
What is the name of the creator of the series Six Feet Under,Alan Ball,Alan Ball,Same,1.0,ComplexQA/CompMix_infobox_complex/00149.json
Which series had Hugh Bonneville as the The Earl of Grantham?,Downton Abbey,Downton Abbey,Same,1.0,SimpleQA/CompMix_table_simple_qa/00283.json
"How many tracks are on Jay-Z's 11th studio album, The blueprint 3",15,0,Different answer,major,ComplexQA/CompMix_table_complex/00206.json
Who played the character of Sevika in Arcane?,Amirah Vann,"Caitlyn|Katie Leung|Katie Leung (lang:en)
Jayce|Kevin Alejandro|Kevin Alejandro (lang:en)
Jinx|Ella Purnell|Ella Purnell (lang:en)
Heimerdinger|Mick Wingert|Mick Wingert (lang:en)
Vi|Hailee Steinfeld|Hailee Steinfeld (lang:en)
Ekko|Miles Brown|Miles Brown (lang:en)
Viktor|Harry Lloyd|Harry Lloyd (lang:en)
Warwick|J. B. Blanc|J. B. Blanc (lang:en)
Singed|Brett Tucker|Brett Tucker (lang:en)",Higher accuracy in Table than in KG,major,SimpleQA/CompMix_table_simple_qa/00119.json
What is the name of the director of the film A Night at the Opera,Sam Wood,Sam Wood,Same,1.0,ComplexQA/CompMix_infobox_complex/00069.json
Who Composes the music in the tv series The Tunnel?,Adrian Johnston,Adrian Johnston,Same,1.0,SimpleQA/CompMix_table_simple_qa/00230.json
How many tracks were on side two of The Police's debut album Outlandos d'Amour,5,"Roxanne
Can't Stand Losing You
Next to You
So Lonely",Different answer,major,ComplexQA/CompMix_table_complex/00110.json
Who played the role of Srikant Tiwari in The Family Man?,Manoj Bajpayee,"Ashish Warang|Ashish Warang (lang:en)
Ashlesha Thakur|Ashlesha Thakur (lang:en)
Zarin Shihab|Zarin Shihab (lang:en)
Manoj Bajpai|Manoj Bajpai (lang:en)
Sharib Hashmi|Sharib Hashmi (lang:en)
Neeraj Madhav|Neeraj Madhav (lang:en)
Pawan Chopra|Pawan Chopra (lang:en)
Priyamani|Priyamani (lang:en)
Shreya Dhanwanthary|Shreya Dhanwanthary (lang:en)
Sharad Kelkar|Sharad Kelkar (lang:en)",Different answer,major,SimpleQA/CompMix_table_simple_qa/00227.json
What is the name of the film directed and written by John Hughes in the year 1984,Sixteen Candles,Sixteen Candles,Same,1.0,ComplexQA/CompMix_table_complex/00037.json
Who Directs the TV series Hanna?,Sarah Adina Smith,Sarah Adina Smith,Same,1.0,SimpleQA/CompMix_table_simple_qa/00126.json
How many unique drivers are listed across the main drivers table for the 2002 Formula One season and the practice drivers table for the 2003 Formula One season,29,0,Different answer,major,ComplexQA/Sportsreason_TANQ_complex/00180.json
Who was a nuclear whistleblower ?,Karen Silkwood | Mordechai Vanunu | Arnold Gundersen | George Galatis | Rainer Moormann,Dusty Ellis|Dusty Ellis (lang:en),Different answer,major,SimpleQA/Qampari_wikitables_simple/00023.json
What is the name of the first book in the Wheel of Time series,The Eye of the World,The Eye of the World,Same,1.0,ComplexQA/CompMix_infobox_complex/00104.json
Who cast member main character Peaky Blinders Tv Series?,Cillian Murphy,Cillian Murphy,Same,1.0,SimpleQA/CompMix_table_simple_qa/00180.json
How many years passed between the first and last National League Championship Series featuring both the Los Angeles Dodgers and the Philadelphia Phillies,32,,Higher accuracy in Table than in KG,major,ComplexQA/Sportsreason_TANQ_complex/00198.json
Who was an ōzeki ?,Tachihikari Denemon | Hitachiiwa Eitarō | Toyokuni Fukuma | Shimizugawa Motokichi | Kagamiiwa Zenshirō | Nayoroiwa Shizuo | Saganohana Katsumi | Shionoumi Unemon | Masuiyama Daishirō I | Mitsuneyama Keiji | Ōuchiyama Heikichi | Matsunobori Shigeo | Kotogahama Sadao | Wakahaguro Tomoaki | Kitabayama Hidetoshi | Tochihikari Masayuki | Yutakayama Katsuo | Kiyokuni Katsuo | Maenoyama Tarō | Daikirin Takayoshi | Takanohana Kenshi | Daiju Hisateru | Kaiketsu Masateru | Asahikuni Masuo | Masuiyama Daishirō II | Kotokaze Kōki | Wakashimazu Mutsuo | Asashio Tarō IV | [[Hokutenyū Katsuhiko]] | Konishiki Yasokichi | Kirishima Kazuhiro | Takanonami Sadahiro | Chiyotaikai Ryūji | Dejima Takeharu | Musōyama Masashi | Miyabiyama Tetsushi | Kaiō Hiroyuki | Tochiazuma Daisuke | Kotoōshū Katsunori | Kotomitsuki Keiji | Baruto Kaito | Kotoshōgiku Kazuhiro | Gōeidō Gōtarō | Takayasu Akira | Tochinoshin Tsuyoshi | Takakeishō Mitsunobu | Asanoyama Hideki | Shōdai Naoya,Aonishiki Arata|Aonishiki Arata (lang:en),Higher accuracy in Table than in KG,major,SimpleQA/Qampari_wikitables_simple/00054.json
"What is the name of the first movie in the series, Lord of the Rings",The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,Same,1.0,ComplexQA/CompMix_table_complex/00084.json
Who directs the TV Series The Wheel of Time?,Uta Briesewitz,Uta Briesewitz,Same,1.0,SimpleQA/CompMix_table_simple_qa/00169.json
How old was the New York University actor who played James Dalton in `` The Cooler `` at The Double Deuce when he died,57,P20846D,Different answer,major,ComplexQA/OTT_QA_dev_complex/00384.json
Who was the head coach of the Charlotte Football Club?,Miguel Ángel Ramírez,Dean Smith|Dean Smith (lang:en),Different answer,major,SimpleQA/CompMix_table_simple_qa/00121.json
What is the name of the first novel of Percy Jackson and the Olympians,The Lightning Thief,The Lightning Thief,Same,1.0,ComplexQA/CompMix_infobox_complex/00083.json
Who directs the tv series Barbarians?,Barbara Eder,Barbara Eder,Same,1.0,SimpleQA/CompMix_table_simple_qa/00247.json
In the 1998-1999 NBC Must See TV lineup which show directly preceded Will & Grace,Friends,Veronica's Closet|Veronica's Closet (lang:en),Different answer,major,ComplexQA/CompMix_table_complex/00068.json
Who was the head coach of the Inter Miami soccer club?,Phil Neville,Guillermo Ángel Hoyos,Different answer,major,SimpleQA/CompMix_table_simple_qa/00216.json
What is the name of the first part of the book series The Expanse,Leviathan Wakes,Leviathan Wakes,Same,1.0,ComplexQA/CompMix_table_complex/00133.json
Who gave the music of the film 211?,Frederik Wiedmann,Frederik Wiedmann,Same,1.0,SimpleQA/CompMix_table_simple_qa/00241.json
"In the ten countries with the highest HDI, what is the population growth rate along with the male and female suicide rates","[['Switzerland', '0.64', '14.2', '9.2'], ['Norway', '0.8% (2022 est.)', '13.4', '7.4'], ['Iceland', '0.89', '18.7', '9.3'], ['Sweden', '0.5% (2022 est.)', '16.9', '8.7'], ['Denmark', '0.44', '11.1', '6.3'], ['Germany', '-0.12', '12.8', '7.6'], ['Ireland', '0.91', '14.3', '4.6'], ['Singapore', '0.9', '12.7', '4.9'], ['Netherlands', '0.36', '12.5', '7.6'], ['Australia', '1.13', '17.0', '6.7']]","Germany|Germany (lang:en)|0.942|||
Iceland|Iceland (lang:en)|0.959|||
Norway|Norway (lang:en)|0.966|||
Ireland|Ireland (lang:en)|0.945|||
Kingdom of the Netherlands|Kingdom of the Netherlands (lang:en)|0.941|||
Finland|Finland (lang:en)|0.94|||
Singapore|Singapore (lang:en)|0.939|||
Sweden|Sweden (lang:en)|0.947|||
Switzerland|Switzerland (lang:en)|0.962|||
Australia|Australia (lang:en)|0.951|||",Different answer,major,ComplexQA/Monaco_time_complex/00061.json
Who wrote the standalone novel series ?,George Orwell,"Robert Ludlum|Robert Ludlum (lang:en)
Brian Freeman|Brian Freeman (lang:en)
Eric Van Lustbader|Eric Van Lustbader (lang:en)",Different answer,major,SimpleQA/CompMix_table_simple_qa/00190.json
What is the name of the last movie directed by Alan Parker,The Life of David Gale,The Life of David Gale,Same,1.0,ComplexQA/CompMix_table_complex/00247.json
Who is the author of the Eragon book?,Christopher Paolini,Christopher Paolini,Same,1.0,SimpleQA/CompMix_table_simple_qa/00029.json
In what event was the former team of the 2013 B.G . Sports Club transfer who is a member of the FAM Normalization Committee a semi-finalist of,AFC Cup,Maldives FA Cup (lang:en),Different answer,major,ComplexQA/OTT_QA_dev_complex/00147.json
big bang theory season 11 how many episodes,14,24.0,Different answer,major,SimpleQA/NQ_table_test_simple/00250.json
What is the name of the last movie in the Bourne series,Jason Bourne,Jason Bourne,Same,1.0,ComplexQA/CompMix_table_complex/00226.json
Who is the composer of the movie Spide man part 1?,Danny Elfman,Danny Elfman,Same,1.0,SimpleQA/CompMix_table_simple_qa/00146.json
In which city is each Charles Dickens novel set,"[['The Pickwick Papers', 'London'], ['Oliver Twist', 'London'], ['The Old Curiosity Shop', 'London'], ['Barnaby Rudge', 'London (Chigwell)'], ['Martin Chuzzlewit', 'London'], ['Bleak House', 'London'], ['Hard Times', 'Coketown'], ['Little Dorrit', 'London'], ['A Tale of Two Cities', 'London'], ['A Tale of Two Cities', 'Paris'], ['Great Expectations', 'Kent'], ['Great Expectations', 'London'], ['Our Mutual Friend', 'London'], ['No Thoroughfare', 'London'], ['The Mystery of Edwin Drood', 'Cloisterham'], ['Nicholas Nickleby', 'London'], ['Dombey and Son', 'London'], ['David Copperfield', 'Blunderstone']]","Oliver Twist|Oliver Twist (lang:en)|London|London (lang:en)
Great Expectations|Great Expectations (lang:en)|London|London (lang:en)
The Old Curiosity Shop|The Old Curiosity Shop (lang:en)|London|London (lang:en)
A Tale of Two Cities|A Tale of Two Cities (lang:en)|London|London (lang:en)
Gone Astray - Night Walks|Gone Astray - Night Walks (lang:en)|London|London (lang:en)
A Christmas Carol|A Christmas Carol (lang:en)|London|London (lang:en)
The Cricket on the Hearth|The Cricket on the Hearth (lang:en)|London|London (lang:en)
Nicholas Nickleby|Nicholas Nickleby (lang:en)|London|London (lang:en)",Different answer,major,ComplexQA/Monaco_non_time_complex/00054.json
chief ministers of tamil nadu mentioned on wikipedia,C. N. Annadurai | V.R. Nedunchezhiyan | M. Karunanidhi | M. G. Ramachandran | Janaki Ramachandran | J. Jayalalithaa | O. Panneerselvam | K. Palaniswami,"M. G. Ramachandran|M. G. Ramachandran (lang:en)
C. N. Annadurai|C. N. Annadurai (lang:en)
O. Panneerselvam|O. Panneerselvam (lang:en)
V. N. Janaki|V. N. Janaki (lang:en)
C. Rajagopalachari|C. Rajagopalachari (lang:en)
Jayaram Jayalalithaa|Jayaram Jayalalithaa (lang:en)
Muthuvel Karunanidhi|Muthuvel Karunanidhi (lang:en)
K.Kamarajar|K.Kamarajar (lang:en)
K. Palaniswami|K. Palaniswami (lang:en)
M. K. Stalin|M. K. Stalin (lang:en)",Higher accuracy in KG than in Table,major,SimpleQA/NQ_table_test_simple/00814.json
What is the name of the manager in 2017 of the soccer club Manchester United F.C.,José Mourinho,José Mourinho,Same,1.0,ComplexQA/CompMix_table_complex/00054.json
Who is the director of the TV series Hanna?,Sarah Adina Smith,Sarah Adina Smith,Same,1.0,SimpleQA/CompMix_table_simple_qa/00008.json
In which year does Alisha Chinai won the award Best Music Video,1996,"Filmfare Award for Best Female Playback Singer|Filmfare Award for Best Female Playback Singer (lang:en)|2006-01-01T00:00:00Z
Apsara Award for Best Female Playback Singer|Apsara Award for Best Female Playback Singer (lang:en)|2006-01-01T00:00:00Z
IIFA Award for Best Female Playback|IIFA Award for Best Female Playback (lang:en)|2006-01-01T00:00:00Z
Bollywood Movie Award – Best Playback Singer Female|Bollywood Movie Award – Best Playback Singer Female (lang:en)|2006-01-01T00:00:00Z",Different answer,major,ComplexQA/CompMix_table_complex/00192.json
death march to parallel world rhapsody ep 5,The Crazy Princess That Started With a Death March,,Higher accuracy in Table than in KG,major,SimpleQA/NQ_table_test_simple/00537.json
What is the name of the model who won the first cycle of America's Next Top Model,Adrianne Curry,Adrianne Curry,Same,1.0,ComplexQA/CompMix_table_complex/00031.json
Who is the director of the movie lord of the rings?,Peter Jackson,Peter Jackson,Same,1.0,SimpleQA/CompMix_table_simple_qa/00094.json
Kyle Neypes who was drafted in the fourth round of the '17 PBA draft is from a country with a population of at least how many people,100 million,112729484.0,Different answer,major,ComplexQA/OTT_QA_dev_complex/00092.json
genre of diary of a wimpy kid the getaway,Children's novel | Graphic Novel,"humorous fiction (lang:en)
children's fiction (lang:en)",Higher accuracy in Table than in KG,major,SimpleQA/NQ_table_test_simple/00095.json
What is the name of the movie directed by Tim Burton in 1990,Edward Scissorhands,Edward Scissorhands,Same,1.0,ComplexQA/CompMix_table_complex/00191.json
Who is the director tv series Alice in Borderland?,Shinsuke Sato,Shinsuke Sato,Same,1.0,SimpleQA/CompMix_table_simple_qa/00120.json
"Listed by date of Theatrical release, chronologically, what are Neil Simon's plays which have also been made into movies","['Come Blow Your Horn (1961)', 'Barefoot in the Park (1963)', 'The Odd Couple (1965)', 'Sweet Charity (1966)', 'The Star-Spangled Girl (1966)', 'Plaza Suite (1968)', 'Last of the Red Hot Lovers (1969)', 'The Gingerbread Lady (1970)', 'The Sunshine Boys (1972)', 'The Prisoner of Second Avenue (1971)', 'California Suite (1976)', 'Chapter Two (1977)', 'I Ought to Be in Pictures (1980)', 'Brighton Beach Memoirs (1983)', 'Biloxi Blues (1985)', 'Broadway Bound (1986)', 'Lost in Yonkers (1991)', ""Jake's Women (1992)"", 'Laughter on the 23rd Floor (1993)', 'London Suite (1995)']","Come Blow Your Horn|Come Blow Your Horn (lang:en)|Come Blow Your Horn|Come Blow Your Horn (lang:en)|1963-01-01T00:00:00Z
The Odd Couple|The Odd Couple (lang:en)|The Odd Couple|The Odd Couple (lang:en)|1968-01-01T00:00:00Z
Plaza Suite|Plaza Suite (lang:en)|Plaza Suite|Plaza Suite (lang:en)|1971-05-12T00:00:00Z
Last of the Red Hot Lovers|Last of the Red Hot Lovers (lang:en)|Last of the Red Hot Lovers|Last of the Red Hot Lovers (lang:en)|1972-08-17T00:00:00Z
The Prisoner of Second Avenue|The Prisoner of Second Avenue (lang:en)|The Prisoner of Second Avenue|The Prisoner of Second Avenue (lang:en)|1975-03-14T00:00:00Z
The Sunshine Boys|The Sunshine Boys (lang:en)|The Sunshine Boys|The Sunshine Boys (lang:en)|1975-11-06T00:00:00Z
Chapter Two|Chapter Two (lang:en)|Chapter Two|Chapter Two (lang:en)|1979-01-01T00:00:00Z
Brighton Beach Memoirs|Brighton Beach Memoirs (lang:en)|Brighton Beach Memoirs|Brighton Beach Memoirs (lang:en)|1986-12-25T00:00:00Z
Lost in Yonkers|Lost in Yonkers (lang:en)|Lost in Yonkers|Lost in Yonkers (lang:en)|1993-05-14T00:00:00Z",Higher accuracy in Table than in KG,major,ComplexQA/Monaco_non_time_complex/00057.json
hart of dixie season 4 how many episodes,10,0,Different answer,major,SimpleQA/NQ_table_test_simple/00088.json
What is the name of the movie released in 2004 did the singer Chris Martin appear in,Shaun of the Dead,Shaun of the Dead,Same,1.0,ComplexQA/CompMix_table_complex/00032.json
Who is the film composer for Troy?,James Horner,James Horner,Same,1.0,SimpleQA/CompMix_table_simple_qa/00292.json
Name the CNN top brass and their titles.,"[['John Stankey', 'CEO of AT&T Inc.'], ['Ken Jautz', 'executive vice president'], ['Tony Maddox', 'executive vice president and managing director of CNN International'], ['Amy Entelis', 'Executive Vice President for Talent and Content Development for CNN Worldwide'], ['Andrew Morse', 'Executive Vice President and Chief Digital Officer']]","Damilola Odufuwa|Damilola Odufuwa (lang:en)|business executive (lang:en)
Jeff Zucker|Jeff Zucker (lang:en)|chief executive officer (lang:en)
Thomas Fenton|Thomas Fenton (lang:en)|media executive (lang:en)
Christopher Cathcart|Christopher Cathcart (lang:en)|public relations executive (lang:en)",Different answer,major,ComplexQA/Monaco_time_complex/00065.json
how is the governor of the bank of england appointed,Monarch on advice from the Prime Minister,monarchy of the United Kingdom,Different answer,major,SimpleQA/NQ_table_test_simple/00039.json
What is the name of the narrator of the series Gossip Girl,Kristen Bell,Kristen Bell,Same,1.0,ComplexQA/CompMix_infobox_complex/00277.json
