question,gold_answer,KG answer,taxonomy_label,method,source,cause
who stars in kevin probably save the world,Jason Ritter | JoAnna Garcia Swisher | Kimberly Hebert Gregory | India de Beaufort | J. August Richards | Chloe East | Dustin Ybarra,"J. August Richards|J. August Richards (lang:en)
Brandon Quinn|Brandon Quinn (lang:en)
Michael Harney|Michael Harney (lang:en)
Michael Harney|Michael J. Harney (lang:en-ca)
Michael Harney|Michael J. Harney (lang:en-gb)
...|...
Kathleen Wilhoite|Kathleen Wilhoite (lang:en)
Lesley Boone|Lesley Boone (lang:en)
India de Beaufort|India de Beaufort (lang:en)
Currie Graham|Currie Graham (lang:en)
Richard Masur|Richard Masur (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00757.json,long answer
What are the existing recoilless rifles ?,M18 Recoilless Rifle | SPG-9 | M20 | Breda Folgore | B-10 | 55 S 55 | RCL 3.45 inch Gun | M67 | 95 S 58-61 | LG 40 | LG 42 | M40 | Model 1968 recoilless gun | B-11 | Jagdfaust | M28/M29 Nuclear Recoilless Rifle,"self-propelled recoilless rifle|self-propelled recoilless rifle (lang:en)
M1A1 Bazooka|M1A1 Bazooka (lang:en)
M40A1|M40A1 (lang:en)
RCL 3.7-inch|RCL 3.7-inch (lang:en)
RPG-29|RPG-29 (lang:en)
...|...
RPG-2|RPG-2 (lang:en)
SPG-82|SPG-82 (lang:en)
RPG series|RPG series (lang:en)
RPG-4|RPG-4 (lang:en)
Rocket-propelled multipurpose grenade|Rocket-propelled multipurpose grenade (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00060.json,long answer
Which weapons are of the type battle riffles ?,AVS-36 | CETME rifle | Desert Tech MDR | FM57 rifle | FN FAL | FN SCAR-H | Gewehr 41 | GRAM 63 battle rifle | Howa Type 64 | IWI ACE 52 | L1A1 Self-Loading Rifle | M1918 Browning Automatic Rifle | M1 Garand | M14 rifle | Madsen LAR | Mk 14 Enhanced Battle Rifle | Model 45A | SIG SG 510 | SIG SG 542 | SLEM-1 | SVT-40 | T48 rifle | Zastava M77 B1,"Heckler & Koch HK417 (lang:en)
Sako M23 (lang:en)
Mk 14 Enhanced Battle Rifle (lang:en)
Howa Type 64 (lang:en)
Zastava M05N (lang:en)
...
Saritch 308 (lang:en)
Sterling 7.62 (lang:en)
Zastava M77 (lang:en)
Beretta BM 59 (lang:en)
AG-3 (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00009.json,long answer
What are the different upper stages used on rockets ?,Agena | Gamma-2 | Blok DM-03 | Centaur | CTS | Delta Cryogenic Second Stage | Electron Second Stage | Exploration Upper Stage | Falcon 9 Second Stage | Fregat | Inertial Upper Stage | KVTK | Payload Assist Module/Star-48B | Salman | Transtage | Volga,"Shuttle-Centaur|Shuttle-Centaur (lang:en)
satellite dispenser|satellite dispenser (lang:en)
Vigoride|Vigoride (lang:en)
Saman-1|Saman-1 (lang:en)
Blok-DM-SLB|Blok-DM-SLB (lang:en)
...|...
Centaur|Centaur (lang:en)
Agena D|Agena D (lang:en)
Altair 1|Altair 1 (lang:en)
Altair 1A|Altair 1A (lang:en)
Delta Cryogenic Second Stage|Delta Cryogenic Second Stage (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00049.json,long answer
What are all the sumo stables ?,Araiso | Arashio | Asahiyama | Asakayama | Dewanoumi | Fujishima | Futagoyama | Hakkaku | Irumagawa | Isegahama | Isenoumi | Kasugano | Kataonami | Kise | Kokonoe | Michinoku | Minato | Miyagino | Naruto | Nishiiwa | Nishikido | Nishonoseki | Oguruma | Oitekaze | Onoe | o Ōnomatsu | o Ōtake | Sadogatake | Sakaigawa | Shibatayama | Shikihide | Shikoroyama | Tagonoura | Takadagawa | Takasago | Tamanoi | Tatsunami | Tokitsukaze | Tokiwayama | Tomozuna | Yamahibiki,"Nakamura Stable|Nakamura Stable (lang:en)
Hatachiyama stable|Hatachiyama stable (lang:en)
Futagoyama stable|Futagoyama stable (lang:en)
Isegahama stable|Isegahama stable (lang:en)
Tokiwayama stable|Tokiwayama stable (lang:en)
...|...
Tokitsukaze stable|Tokitsukaze stable (lang:en)
Tomozuna stable|Tomozuna stable (lang:en)
Ōnomatsu stable|Ōnomatsu stable (lang:en)
Ōshima stable|Ōshima stable (lang:en)
Ōtake stable|Ōtake stable (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00007.json,long answer
what type of government is in north america,Federal presidential constitutional republic,"Canada|Canada (lang:en)|constitutional monarchy|constitutional monarchy (lang:en)
Canada|Canada (lang:en)|constitutional monarchy|constitutional monarchy (lang:en-ca)
Canada|Canada (lang:en)|parliamentary system|parliamentary system (lang:en)
Canada|Canada (lang:en)|constitutional monarchy|constitutional monarchy (lang:en-gb)
Canada|Canada (lang:en)|federation|federation (lang:en-ca)
...|...|...|...
Mexico|Mexico (lang:en-us)|federal republic|federal republic (lang:en-gb)
Mexico|Mexico (lang:en)|federal republic|federal republic (lang:en)
Mexico|Mexico (lang:en-ca)|federal republic|federal republic (lang:en)
Mexico|Mexico (lang:en-gb)|federal republic|federal republic (lang:en)
Mexico|Mexico (lang:en-us)|federal republic|federal republic (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00940.json,long answer
What natural areas are natural study areas ?,San Luis Hills | Black Canyon | Gooding City of Rocks East | Gooding City of Rocks West | Little City of Rocks | Shale Butte | Sleeping Giant/Sheep Creek,"Burnt Creek Wilderness Study Area
White Knob Mountains Wilderness Study Area
wd:Q138911848
wd:Q138911901
wd:Q138911963
...
Gooding City of Rocks West Wilderness Study Area
Indian Creek Wilderness Study Area
Handies Peak Wilderness Study Area
Sleeping Giant Wilderness Study Area
Mount Stirling Wilderness Study Area",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00067.json,long answer
who starred in the movie natural born killers,"Woody Harrelson | Juliette Lewis | Robert Downey, Jr. | Tommy Lee Jones | Tom Sizemore","Pruitt Taylor Vince|Pruitt Taylor Vince (lang:en)
Everett Quinton|Everett Quinton (lang:en)
Matthew Faber|Matthew Faber (lang:en)
Red West|Red West (lang:en)
Robert Downey Jr.|Robert Downey Jr. (lang:en)
...|...
Marshall Bell|Marshall Bell (lang:en)
O-Lan Jones|O-Lan Jones (lang:en)
Peter Crombie|Peter Crombie (lang:en)
Joe Grifasi|Joe Grifasi (lang:en)
James Gammon|James Gammon (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00607.json,long answer
who starred in the film walk the line,Joaquin Phoenix | Reese Witherspoon | Ginnifer Goodwin | Robert Patrick | Dallas Roberts,"Ginnifer Goodwin|Ginnifer Goodwin (lang:en)
McGhee Monteith|McGhee Monteith (lang:en)
Dan Beene|Dan Beene (lang:en)
Clay Steakley|Clay Steakley (lang:en)
Carly Nahon|Carly Nahon (lang:en)
...|...
Kid Memphis|Kid Memphis (lang:en)
Tyler Hilton|Tyler Hilton (lang:en)
Shelby Lynne|Shelby Lynne (lang:en)
Hailey Anne Nelson|Hailey Anne Nelson (lang:en)
Johnathan Rice|Johnathan Rice (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00507.json,long answer
who are the cast members of ncis new orleans,"Scott Bakula | Lucas Black | Zoe McLellan | Rob Kerkovich | CCH Pounder | Daryl ""Chill"" Mitchell | Shalita Grant | Vanessa Ferlito","James McDaniel|James McDaniel (lang:en)
Tim de Zarn|Tim de Zarn (lang:en)
Titus Odell Makin Jr.|Titus Odell Makin Jr. (lang:en)
Chad Michael Collins|Chad Michael Collins (lang:en)
Charlene Amoia|Charlene Amoia (lang:en)
...|...
Philip Anthony-Rodriguez|Philip Anthony-Rodriguez (lang:en)
Steven Weber|Steven Weber (lang:en)
James Eckhouse|James Eckhouse (lang:en)
Daryl Mitchell|Daryl Mitchell (lang:en)
Brandon Stacy|Brandon Stacy (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00295.json,long answer
Who were the main actors in The Sting that won an Academy Award for Best Picture over American Graffiti,Paul Newman;Robert Redford;Robert Shaw,"Paulene Myers|Paulene Myers (lang:en)
John Quade|John Quade (lang:en)
Larry D. Mann|Larry D. Mann (lang:en)
Brad Sullivan|Brad Sullivan (lang:en)
Robert Earl Jones|Robert Earl Jones (lang:en)
...|...
Dana Elcar|Dana Elcar (lang:en)
Robert Redford|Robert Redford (lang:en)
Ray Walston|Ray Walston (lang:en)
William Benedict|William Benedict (lang:en)
Harold Gould|Harold Gould (lang:en)",Different answer,LLM-as-a-judge,ComplexQA/CompMix_infobox_complex/00005.json,long answer
what is the rate limiting enzyme of kreb's cycle,Isocitrate dehydrogenase,"2 hydroxyglutarate dehydrogenase|2 hydroxyglutarate dehydrogenase (lang:en)
2-methyl citrate dehydratase Fe-S dependent AcnD SO_0343|2-methyl citrate dehydratase Fe-S dependent AcnD SO_0343 (lang:en)
2-methylcitrate dehydratase (promiscuous) BSU_24130|2-methylcitrate dehydratase (promiscuous) BSU_24130 (lang:en)
2-methylcitrate dehydratase STM0370|2-methylcitrate dehydratase STM0370 (lang:en)
2-methylcitrate synthase AHA_2266|2-methylcitrate synthase AHA_2266 (lang:en)
...|...
Uncharacterized protein Dmel_CG5214|Uncharacterized protein Dmel_CG5214 (lang:en)
Uncharacterized protein Dmel_CG5599|Uncharacterized protein Dmel_CG5599 (lang:en)
Uncharacterized protein Dmel_CG6629|Uncharacterized protein Dmel_CG6629 (lang:en)
Uncharacterized protein Dmel_CG7430|Uncharacterized protein Dmel_CG7430 (lang:en)
Uncharacterized protein Dmel_CG7755|Uncharacterized protein Dmel_CG7755 (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00925.json,long answer
What professional tennis tournaments are played in the United States,"['US Open', 'ATP Indian Wells Masters', 'ATP Miami Open', 'ATP Cincinnati Masters', 'ATP Washington Open', 'ATP Delray Beach Open', ""ATP US Men's Clay Court Championship"", 'ATP Hall of Fame Open', 'ATP Atlanta Open', 'ATP Winston-Salem Open', 'WTA Indian Wells Open', 'WTA 1000 Miami Open', 'WTA 1000 Cincinnati Open', 'WTA 1000 Charleston Open', 'WTA 500 Silicon Valley Classic', 'WTA 500 Southern California Open', 'WTA 500 Connecticut Open', 'WTA 250 Memphis International', 'AT&T Challenger of Dallas', 'Baton Rouge Pro Tennis Classic', 'BMW Tennis Championship', 'Calabasas Pro Tennis Championships', 'Carson Challenger', 'Ford Tennis Championships', 'GHI Bronx Tennis Classic', 'JSM Challenger of Champaign–Urbana', 'Levene Gouldin & Thompson Tennis Challenger', 'Lexington Challenger', 'Lubbock Challenger', ""Men's Pro Challenger at Tunica National"", 'Music City Challenger', 'Nielsen Pro Tennis Championship', 'Nordic Naturals Challenger', 'Sunset Moulding YCRC Challenger', 'Swanston Challenger', 'Tallahassee Tennis Challenger', 'USTA Waikoloa Challenger', 'BNP Paribas Showdown', 'Challenge of Champions', 'River Oaks International Tennis Tournament']","Georgia's Rome Tennis Open|Georgia's Rome Tennis Open (lang:en)
Chicago Women's Open|Chicago Women's Open (lang:en)
Georgia's Rome Challenger|Georgia's Rome Challenger (lang:en)
Indy Challenger|Indy Challenger (lang:en)
WCT Houston Shootout|WCT Houston Shootout (lang:en)
...|...
Oracle Challenger Series – Houston|Oracle Challenger Series – Houston (lang:en)
Cleveland Challenger|Cleveland Challenger (lang:en)
Innisbrook Open|Innisbrook Open (lang:en)
Oracle Challenger Series – New Haven|Oracle Challenger Series – New Haven (lang:en)
Thoreau Tennis Open|Thoreau Tennis Open (lang:en)",Different answer,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00032.json,long answer
What is the name of the actor who plays the leading role in the movie The Terminator,Arnold Schwarzenegger,"Bill Paxton|Bill Paxton (lang:en)
Bill Paxton|Bill Paxton (lang:en-ca)
Bill Paxton|Bill Paxton (lang:en-gb)
Rick Rossovich|Rick Rossovich (lang:en)
Dick Miller|Dick Miller (lang:en)
...|...
Franco Columbu|Franco Columbu (lang:en)
Franco Columbu|Franco Columbu (lang:en-ca)
Franco Columbu|Franco Columbu (lang:en-gb)
William Wisher Jr.|William Wisher Jr. (lang:en)
Brian Thompson|Brian Thompson (lang:en)",Different answer,LLM-as-a-judge,ComplexQA/CompMix_infobox_complex/00020.json,long answer
Which European countries have never fought in a war against France,"['Andorra', 'Armenia', 'Azerbaijan', 'Belarus', 'Belgium', 'Bosnia and Herzegovina', 'Estonia', 'Greece', 'Ireland', 'Kazakhstan', 'Monaco', 'Norway', 'Cyprus', 'Moldova', 'North Macedonia', 'Poland', 'San Marino']","Kosovo|Kosovo (lang:en)
United Kingdom|United Kingdom (lang:en)
Russia|Russia (lang:en)
Germany|Germany (lang:en)
Belarus|Belarus (lang:en)
...|...
Austria|Austria (lang:en)
Serbia|Serbia (lang:en)
Greece|Greece (lang:en)
Portugal|Portugal (lang:en)
Netherlands|Netherlands (lang:en)",Different answer,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00128.json,long answer
In which cities are there clock towers that are not located in Americas or Europe ?,"Sari | Tehran | Acre | Jaffa | Tripoli | Kota Kinabalu, Sabah | Teluk Intan, Perak | Peshawar | Faisalabad | Hyderabad | Jaffna | Colombo | Kurunegala | Piliyandala","Secunderabad|Secunderabad (lang:en)
Sorgun|Sorgun (lang:en)
Yeşilli|Yeşilli (lang:en)
Kurtalan|Kurtalan (lang:en)
Mysore|Mysore (lang:en)
...|...
Merzifon|Merzifon (lang:en)
Mudurnu|Mudurnu (lang:en)
Büyükada|Büyükada (lang:en)
California|California (lang:en)
California|California (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00040.json,long answer
What countries are island countries ?,"The northern part of the island of Cyprus is the de facto independent state of Northern Cyprus, which is recognized only by Turkey. In the south of the island are the Sovereign Base Areas of Akrotiri and Dhekelia, controlled by the United Kingdom. | In 1983, Northern Cyprus declared independence from Cyprus. Northern Cyprus sovereignty has been recognized by only one United Nations member state (Turkey). It is not a member state of the United Nations. Most states recognize Cyprus claim to sovereignty over Northern Cyprus. | Since the conclusion of the Chinese Civil War, the Republic of China (ROC) retains actual rule over the islands of Taiwan, Penghu, Kinmen, the Matsu, and other minor islands, all of which are collectively known as ""Free Area"" or Taiwan Area in contrast to Mainland China being under communist rule, thus making it a de facto island nation, and has become known colloquially as simply ""Taiwan"" due to the island of Taiwan forming the majority of the ROC-controlled territories; nonetheless, the ROC has not officially renounced its constitutional-defined territories which include areas effectively controlled by the [[China|Peoples Republic of China]], Mongolia, Tuva (a Russian republic) etc. If claimed territories were taken into account, the ROC would not be a borderless country, nor a country centred around a major island. The ROC-controlled territories are also claimed by the Peoples Republic of China. See: Political status of Taiwan, Two Chinas, One-China policy, and Cross-strait relations. | Martinique | Administered by Norway under the Svalbard Treaty.","Cape Verde
Madagascar
Mauritius
São Tomé and Príncipe
Seychelles
...
Maldives
Sri Lanka
Taiwan
Philippines
Comoros",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00029.json,long answer
What were the former occupations of the Booker Prize winners over the past decade,"[['director and screenwriter'], ['English and creative writing teacher'], ['Psychology student'], ['technical writer', 'geophysical engineer'], ['None'], ['None'], ['theatre operator'], ['fashion designer'], ['novelist and playwright'], ['advertising'], ['deputy chief sub-editor and chief film critic for The Sunday Tribune']]","George Saunders|George Saunders (lang:en)|essayist|essayist (lang:en)
George Saunders|George Saunders (lang:en)|geophysicist|geophysicist (lang:en)
George Saunders|George Saunders (lang:en)|prose writer|prose writer (lang:en)
George Saunders|George Saunders (lang:en)|short story writer|short story writer (lang:en)
George Saunders|George Saunders (lang:en)|university teacher|university teacher (lang:en)
...|...|...|...
Damon Galgut|Damon Galgut (lang:en)|writer|writer (lang:en)
Damon Galgut|Damon Galgut (lang:en)|novelist|novelist (lang:en)
Shehan Karunatilaka|Shehan Karunatilaka (lang:en)|writer|writer (lang:en)
Douglas Stuart|Douglas Stuart (lang:en)|fashion designer|fashion designer (lang:en)
Douglas Stuart|Douglas Stuart (lang:en)|writer|writer (lang:en)",Different answer,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00069.json,long answer
Which NATO member countries have changed their prime minister in the past 6 years,"['Belgium', 'Bulgaria', 'Czech Republic', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Greece', 'Iceland', 'Italy', 'Latvia', 'Lithuania', 'Montenegro', 'North Macedonia', 'Norway', 'Poland', 'Romania', 'Slovakia', 'Slovenia', 'Spain', 'United Kingdom']","realm of the United Kingdom|realm of the United Kingdom (lang:en)
United Kingdom|United Kingdom (lang:en)
Canada|Canada (lang:en)
Iceland|Iceland (lang:en)
Estonia|Estonia (lang:en)
...|...
Poland|Poland (lang:en)
Lithuania|Lithuania (lang:en)
Greece|Greece (lang:en)
Portugal|Portugal (lang:en)
Kingdom of Denmark|Kingdom of Denmark (lang:en)",Different answer,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00083.json,long answer
Who cast member main character Peaky Blinders Tv Series?,Cillian Murphy,"Adrien Brody
Charlie Creed-Miles
Peter Campion
Simon Wan
Cosmo Jarvis
...
Pauline Turner
Bríd Brennan
Samuel Edward-Cook
Elliot Cowan
Harry Kirton",Different answer,LLM-as-a-judge,SimpleQA/CompMix_table_simple_qa/00180.json,long answer
Who played the character of Miyan Maqbool?,Irrfan Khan,"Tabu|Tabu (lang:en)
Dibyendu Bhattacharya|Dibyendu Bhattacharya (lang:en)
Masumeh Makhija|Masumeh Makhija (lang:en)
Abbas Tyrewala|Abbas Tyrewala (lang:en)
Pankaj Kapur|Pankaj Kapur (lang:en)
...|...
Ankur Vikal|Ankur Vikal (lang:en)
Daya Shankar Pandey|Daya Shankar Pandey (lang:en)
Murali Sharma|Murali Sharma (lang:en)
Shammi Narang|Shammi Narang (lang:en)
Om Puri|Om Puri (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/CompMix_table_simple_qa/00160.json,long answer
Which weapons are of the type siege engine ?,Siege tower | Battering ram | Catapult | Ballista | Trebuchet | Helepolis | Sambuca | Scorpio | Artillery,"Leonardo da Vinci's catapult
Leonardo da Vinci's double-shot catapult
Trebuchet at Urquhart Castle
Warwolf
wd:Q90580379
...
Beffroi de Nuits-Saint-Georges
Beffroi de Saint-Pourçain-sur-Sioule
Beffroi de Millau
wd:Q2938784
Tour de l'Horloge (Lons-le-Saunier)",Different answer,LLM-as-a-judge,SimpleQA/Qampari_wikitables_simple/00038.json,long answer
Which countries have more than 3 nuclear power stations,"['France', 'Russia', 'United States', 'Canada', 'China', 'Spain', 'Japan', 'South Korea', 'United Kingdom', 'India', 'Ukraine']","France|France (lang:en)|26
United Kingdom|United Kingdom (lang:en)|25
People's Republic of China|People's Republic of China (lang:en)|48
Russia|Russia (lang:en)|24
Canada|Canada (lang:en)|8
...|...|...
Switzerland|Switzerland (lang:en)|6
India|India (lang:en)|17
Iran|Iran (lang:en)|5
Taiwan|Taiwan (lang:en)|4
South Korea|South Korea (lang:en)|6",Different answer,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00131.json,long answer
who starred in the movie the day the earth stood still,Keanu Reeves | Jennifer Connelly | Jaden Smith | Kathy Bates | Jon Hamm | John Cleese | Kyle Chandler,"Frances Bavier|Frances Bavier (lang:en)
Hugh Marlowe|Hugh Marlowe (lang:en)
Lock Martin|Lock Martin (lang:en)
Patricia Neal|Patricia Neal (lang:en)
Michael Rennie|Michael Rennie (lang:en)
...|...
James Hong|James Hong (lang:en)
Snub Pollard|Snub Pollard (lang:en)
Billy Gray|Billy Gray (lang:en)
Harry Harvey|Harry Harvey (lang:en)
Sam Jaffe|Sam Jaffe (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00086.json,long answer
Which leading works by Chaucer included themes of a religious nature,"['Translation of Roman de la Rose', 'The Book of the Duchess', 'The House of Fame', 'Parlement of Foules', 'The Canterbury Tales', ""Translation of Boethius' Consolation of Philosophy"", 'The Legend of Good Women']","The Book of the Duchess|The Book of the Duchess (lang:en)
The compleynt unto Pity|The compleynt unto Pity (lang:en)
The compleynt of Venus|The compleynt of Venus (lang:en)
Chaucer's complaint unto his purse|Chaucer's complaint unto his purse (lang:en)
The Complaint of Mars|The Complaint of Mars (lang:en)
...|...
Troilus and Criseyde|Troilus and Criseyde (lang:en)
A Treatise on the Astrolabe|A Treatise on the Astrolabe (lang:en)
Anelida and Arcite|Anelida and Arcite (lang:en)
Boece|Boece (lang:en)
The House of Fame|The House of Fame (lang:en)",Different answer,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00131.json,long answer
Who are the NBA MVP players that have never won a championship,"['Allen Iverson', 'Charles Barkley', 'Derrick Rose', 'James Harden', 'Joel Embiid', 'Karl Malone', 'Russell Westbrook', 'Steve Nash']","Magic Johnson
James Harden
Shaquille O'Neal
Nikola Jokić
Oscar Robertson
...
Michael Jordan
Dirk Nowitzki
Wes Unseld
Bob McAdoo
Giannis Antetokounmpo",Different answer,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00128.json,long answer
who was the successful commanding general of the northern forces in the civil war,George B. McClellan,"Alexander Hamilton|Alexander Hamilton (lang:en)
Alexander Hamilton|Alexander Hamilton (lang:en-ca)
Alexander Hamilton|Alexander Hamilton (lang:en-gb)
George Washington|George Washington (lang:en)
George Washington|George Washington (lang:en-gb)
...|...
Henry Knox|Henry Knox (lang:en)
Henry Halleck|Henry Halleck (lang:en)
James Wilkinson|James Wilkinson (lang:en)
Henry Dearborn|Henry Dearborn (lang:en)
John Schofield|John Schofield (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00339.json,long answer
who is the current director of the us mint,David J. Ryder,"Ventris Gibson|Ventris Gibson (lang:en)
Henrietta H. Fore|Henrietta H. Fore (lang:en)
Nellie Tayloe Ross|Nellie Tayloe Ross (lang:en)
James Pollock|James Pollock (lang:en)
Elias Boudinot|Elias Boudinot (lang:en)
...|...
George Evan Roberts|George Evan Roberts (lang:en)
James Ross Snowden|James Ross Snowden (lang:en)
Paul Hollis|Paul Hollis (lang:en)
Stella Hackel Sims|Stella Hackel Sims (lang:en)
David Rittenhouse|David Rittenhouse (lang:en)",Different answer,LLM-as-a-judge,SimpleQA/NQ_table_test_simple/00232.json,long answer
Which players on Man united FC in 2017 were originally from England,"['Scott McTominay', 'Ashley Young', 'Angel Gomes', 'Phil Jones', 'Jesse Lingard', 'Michael Carrick (c)', 'Luke Shaw', 'James Wilson', 'Marcus Rashford', 'Demetri Mitchell', 'Cameron Borthwick-Jackson', ""Kieran O'Hara"", 'Chris Smalling']","Dean Henderson|Dean Henderson (lang:en)
Regan Poole|Regan Poole (lang:en)
Michael Carrick|Michael Carrick (lang:en)
Chris Smalling|Chris Smalling (lang:en)
Ro-Shaun Williams|Ro-Shaun Williams (lang:en)
...|...
Ashley Young|Ashley Young (lang:en)
Angel Gomes|Angel Gomes (lang:en)
Scott McTominay|Scott McTominay (lang:en)
Jesse Lingard|Jesse Lingard (lang:en)
Wayne Rooney|Wayne Rooney (lang:en)",Different answer,LLM-as-a-judge,ComplexQA/Monaco_non_time_complex/00114.json,long answer
"Over the past 30 years, which women have served as Cabinet members in the United States, Chronologically","['Donna Shalala', ""Hazel R. O'Leary"", 'Janet Reno', 'Madeleine Albright', 'Alexis Herman', 'Ann Veneman', 'Elaine Chao', 'Gale Norton', 'Margaret Spellings', 'Condoleezza Rice', 'Mary E. Peters', 'Hillary Clinton', 'Janet Napolitano', 'Hilda Solis', 'Kathleen Sebelius', 'Sally Jewell', 'Penny Pritzker', 'Sylvia Burwell', 'Loretta Lynch', 'Betsy DeVos', 'Kirstjen Nielsen', 'Kamala Harris', 'Janet Yellen', 'Jennifer Granholm', 'Gina Raimondo', 'Marcia Fudge', 'Deb Haaland']","Mary L. Good|Mary L. Good (lang:en)
Madeleine Albright|Madeleine Albright (lang:en)
Janet Yellen|Janet Yellen (lang:en)
Alexis Herman|Alexis Herman (lang:en)
Ann Veneman|Ann Veneman (lang:en)
...|...
Tulsi Gabbard|Tulsi Gabbard (lang:en)
Brooke Rollins|Brooke Rollins (lang:en)
Kelly Loeffler|Kelly Loeffler (lang:en)
Linda McMahon|Linda McMahon (lang:en)
Lori Chavez-DeRemer|Lori Chavez-DeRemer (lang:en)",Different answer,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00049.json,long answer
Which actresses were unmarried at the time that they won the Oscar for Best Actress in a Leading Role,"['Anna Magnani', 'Anne Bancroft', 'Julie Christie', 'Ellen Burstyn', 'Shirley MacLaine', 'Marlee Matlin', 'Cher', 'Jessica Lange', 'Susan Sarandon', 'Helen Hunt', 'Gwyneth Paltrow', 'Julia Roberts', 'Halle Berry', 'Nicole Kidman', 'Charlize Theron', 'Marion Cotillard', 'Natalie Portman', 'Jennifer Lawrence', 'Brie Larson', 'Emma Stone', 'Renée Zellweger', 'Michelle Yeoh', 'Janet Gaynor', 'Marie Dressler', 'Ginger Rogers', 'Jane Wyman', 'Judy Holliday', 'Shirley Booth', 'Audrey Hepburn', 'Grace Kelly', 'Meryl Streep', 'Jodie Foster', 'Katharine Hepburn', 'Vivien Leigh']","Diane Keaton
Halle Berry
Mary Pickford
Holly Hunter
Simone Signoret
...
Jane Wyman
Olivia de Havilland
Joan Fontaine
Ginger Rogers
Mildred Pierce",Different answer,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00042.json,long answer
How many different prime ministers did each European country have in the past 15 years,"[['Russia', 5], ['Ukraine', 6], ['France', 8], ['Spain', 3], ['Sweden', 4], ['Norway', 3], ['Germany', 2], ['Finland', 8], ['Poland', 4], ['Italy', 8], ['United Kingdom', 6], ['Romania', 16], ['Belarus', 5], ['Kazakhstan', 7], ['Greece', 9], ['Bulgaria', 10], ['Iceland', 5], ['Hungary', 2], ['Portugal', 4], ['Serbia', 5], ['Austria', 8], ['Czechia', 6], ['Ireland', 5], ['Lithuania', 4], ['Latvia', 5], ['Croatia', 5], ['Bosnia and Herzegovina', 5], ['Slovakia', 6], ['Estonia', 4], ['Denmark', 4], ['Switzerland', 12], ['Netherlands', 2], ['Moldova', 14], ['Belgium', 6], ['Albania', 2], ['North Macedonia', 6], ['Turkey', 3], ['Slovenia', 6], ['Montenegro', 6], ['Kosovo', 5], ['Azerbaijan', 3], ['Georgia', 9], ['Luxembourg', 3], ['Andorra', 5], ['Malta', 3], ['Liechtenstein', 3], ['San Marino', 1], ['Monaco', 4], ['Vatican City', 2], ['Cyprus', 1], ['Armenia', 5]]","San Marino|San Marino (lang:en)|20
Bosnia and Herzegovina|Bosnia and Herzegovina (lang:en)|8
Kosovo|Kosovo (lang:en)|5
Poland|Poland (lang:en)|5
Northern Cyprus|Northern Cyprus (lang:en)|4
...|...|...
Belgium|Belgium (lang:en)|1
Kingdom of the Netherlands|Kingdom of the Netherlands (lang:en)|1
Spain|Spain (lang:en)|1
Ireland|Ireland (lang:en)|1
Cyprus|Cyprus (lang:en)|1",Different answer,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00024.json,long answer
What are the birth countries of players in roster of the Denver Nuggests,"['U.S.', 'Slovenia', 'United States', 'Serbia', 'Canada', 'US', 'Beverley Hills, California, U.S', 'Australia']","Senegal|Senegal (lang:en)
France|France (lang:en)
France|France (lang:en)
France|France (lang:en)
France|France (lang:en)
...|...
Dominican Republic|Dominican Republic (lang:en)
Panama|Panama (lang:en)
Mexico|Mexico (lang:en)
Democratic Republic of the Congo|Democratic Republic of the Congo (lang:en)
Democratic Republic of the Congo|Democratic Republic of the Congo (lang:en)",Different answer,LLM-as-a-judge,ComplexQA/Monaco_time_complex/00143.json,long answer
